game_id,game_start_time,map_name,row_time,elapsed_s,primary_weapon,secondary_weapon,armor_level,shield_type,shield_hp,flesh_hp,health,squads_remaining,players_remaining,kills,assists,participation,damage,map_x,map_y,location
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:29:19,15.9,,,,white,22,100,122,,34,21,,,,853,580,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:29:24,20.2,,,,white,22,100,122,,34,21,,,,889,516,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:29:29,25.2,,,,white,22,100,122,,75,21,,,,884,481,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:29:34,30.2,,,,white,22,100,122,,75,21,,,,892,505,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:29:39,35.2,,,,white,22,100,122,,75,21,,,,,,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:29:44,40.3,,,,white,22,100,122,,75,21,,,,821,553,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:29:49,45.3,,,,white,43,100,143,,75,21,,,,806,584,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:29:54,50.4,,,,white,43,100,143,,75,21,,,,796,619,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:29:59,55.4,,,,white,43,100,143,,285,21,,,,756,654,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:30:05,60.6,,,,white,43,100,143,,285,5,,,,770,650,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:30:10,65.6,,,,white,43,100,143,,285,5,,,,770,649,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:30:15,70.6,,,1,white,43,100,143,,285,6,,,,768,643,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:30:20,75.6,,,1,white,43,100,143,,300,6,,,,764,646,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:30:25,80.7,,,1,white,43,100,143,,285,5,,,,770,645,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:30:30,85.7,,,1,white,42,100,143,,285,5,,,,766,645,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:30:35,90.8,,,1,white,43,100,143,,285,5,,,,769,645,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:30:40,95.8,,,1,white,43,100,143,,285,5,,,,754,659,
20260610-142904-ig0e8y,2026-06-10T14:29:04,Kings Canyon,2026-06-10T14:30:45,100.9,,,1,white,0,65,108,,285,6,,,,745,704,
